step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
36.0,cash_out,449109.84,c630750768,14914.5,0.0,c4arr$,72855.78,521965.62,0.0
402.0,payment,8593.72,c960271657,0.0,0.0,m431752332,0.0,0.0,0.0
33.0,payment,9201.16,c1378359079,22962.0,13760.84,m352072570,128753.815,0.0,0.0
18.0,payment,1225.3,c1707719646,0.0,0.0,m1913693032,0.0,206184.72,0.0
235.0,payment,9820.29,c90105308,10836.0,1015.71,m1581304819,0.0,0.0,0.0
180.0,payment,26579.29,c1208646491,99585.0,73005.71,m659476503,0.0,0.0,0.0
378.0,payment,4108.52,c205120926,0.0,0.0,m800309866,0.0,0.0,0.0
133.0,payment,56025.27,c2092522735,24640.27,0.0,m1082948685,0.0,0.0,0.0
250.0,cash_out,408517.43,c4arr$,11563.0,0.0,c1040355043,1759706.33,2168223.76,0.0
237.0,transfer,306349.3,c232518086,10552.0,0.0,c1047869868,0.0,306349.3,0.0
354.0,cash_out,440434.56,c1516800671,132.0,0.0,c872687874,142061.97,582496.53,0.0
139.0,cash_out,61691.8,c447030812,5504.0,0.0,c1336018344,1791738.77,1853430.57,0.0
377.0,payment,71321.55,c452634161,101849.0,100470.74,m1945728043,0.0,0.0,0.0
284.0,cash_in,84846.16,c1694357238,50229.0,135075.16,c911523555,44972.78,0.0,0.0
130.0,payment,28421.47,c336412110,313019.0,284597.52,m130620302,0.0,0.0,0.0
514.0,cash_out,358311.66,c6287936,50370.0,0.0,c770818899,371409.54,729721.2,0.0
310.0,cash_out,120212.4,c4arr$,15626.0,0.0,c879979419,0.0,120212.4,0.0
11.0,payment,18251.2,c812911083,10254.0,0.0,m1627961263,128753.815,0.0,0.0
281.0,cash_in,120938.46,c840281450,17505.0,138443.46,c1986446498,0.0,0.0,0.0
369.0,cash_out,69723.66,c4arr$,36343.0,0.0,c1212151219,7159820.24,7229543.9,0.0
210.0,cash_in,114715.7,c429915353,3248085.03,3362800.73,c434491429,860696.29,745980.59,0.0
407.0,payment,23077.57,c1684940533,20903.0,0.0,m1870675981,0.0,0.0,0.0
